26,14
26,15
26,16
26,17
26,18
27,15
27,16
27,17
27,18
27,19
27,20
28,12
28,14
28,15
28,16
28,17
28,18
28,20
28,21
29,10
29,16
29,17
29,18
29,19
29,20
29,21
29,22
30,15
30,16
30,17
30,18
30,19
30,20
31,15
31,16
31,17
31,18
32,10
32,11
32,15
32,16
32,17
32,18
33,18
34,15
34,16
34,18
35,5
41,18
42,5
40,21
43,11
22,5
23,17
40,22
32,7
25,13
26,9
30,12
30,11
34,11
23,10
39,8
38,21
21,13
33,15
25,5
34,9
44,8
35,16
39,5
35,13
20,5
37,16
43,13
33,14
38,12
32,6
20,8
25,6
21,12
26,19
27,6
24,9
24,20
39,15
20,6
34,19
24,21
44,10
11,15
7,18
11,18
17,19
17,20
19,15
4,17
20,22
1,20
3,22
58,12
49,14
60,10
59,6
60,7
60,20
52,14
52,5
47,17
55,11
54,11
47,22
58,19
50,16
53,22
51,9
52,7
53,10
48,21
47,10
59,20
54,15
50,12
49,13
48,8
49,6
54,6
51,16
53,8
50,9
56,16
55,9
56,9
57,6
57,19
59,14
57,16
47,15
59,18
53,17
48,22
52,17
54,16
54,7
48,20
53,21
47,11
53,6
56,17
48,13
10,10
16,15
13,8
14,12
13,5
16,10
9,14
1,13
16,12
12,8
11,5
4,7
6,9
8,12
9,7
12,14
5,6
3,7
3,10
3,15
17,8
12,9
6,7
15,14
13,13
19,7
8,15
16,6
15,9
20,9
16,11
7,5
5,7
5,15
2,7
11,9
10,7
2,9
8,13
19,12
19,13
4,13
5,8
9,6
9,5
17,5
11,14
8,6
57,5
59,3
